"N","seed_theta","seed_Y","K","fold","predictive_llk","predictive_llk_dist_mean"
400,2,2,6,4,-3181.2015403406,-3188.65477052513
400,2,2,6,5,-3177.60953450058,-3183.65068389824
400,2,3,6,1,-3182.31221059896,-3189.83507782516
400,2,3,6,2,-3144.55798595098,-3158.49239247069
400,2,3,6,3,-3228.96318582554,-3242.52682643467
400,2,3,6,4,-3160.29553224919,-3167.51761692789
400,2,3,6,5,-3172.59410623746,-3167.75722070429
400,2,4,6,1,-3043.1003091001,-3060.66032128608
400,2,4,6,2,-3118.65086223118,-3146.37823592502
400,2,4,6,3,-3180.74405523094,-3209.37319480306
400,2,4,6,4,-3173.31917214253,-3199.59978376214
400,2,4,6,5,-3178.48868827074,-3182.1865016075
400,2,5,6,1,-3157.89197771458,-3178.45683785369
400,2,5,6,2,-3225.62035967434,-3243.63568538864
400,2,5,6,3,-3214.68780576554,-3245.32842051395
400,2,5,6,4,-3287.63856610283,-3288.53805139499
400,2,5,6,5,-3171.41036953594,-3199.22655842184
800,2,1,6,1,-6268.77679992212,-6288.32433824349
800,2,1,6,2,-6283.63958597272,-6306.83628322139
800,2,1,6,3,-6380.58012960027,-6351.97559179144
800,2,1,6,4,-6235.79697442006,-6253.1353713005
800,2,1,6,5,-6220.85135026311,-6235.32360015987
800,2,2,6,1,-6395.77169875881,-6405.90988299287
800,2,2,6,2,-6338.17710693373,-6343.14558356945
800,2,2,6,3,-6335.82163997896,-6347.18227533607
800,2,2,6,4,-6354.57854607164,-6364.270167653
800,2,2,6,5,-6350.2175243073,-6363.90640542796
800,2,3,6,1,-6295.40827436574,-6311.05902381433
800,2,3,6,2,-6346.40475905997,-6360.1849359025
800,2,3,6,3,-6293.36372103101,-6304.15456593016
800,2,3,6,4,-6275.59851236443,-6294.80305644861
800,2,3,6,5,-6286.65509061146,-6292.37170386263
800,2,4,6,1,-6311.67266736387,-6326.7750120106
800,2,4,6,2,-6152.43178596631,-6166.6688934062
800,2,4,6,3,-6182.65142048028,-6209.61913958026
800,2,4,6,4,-6169.47821843828,-6194.57536307735
800,2,4,6,5,-6114.60235237407,-6136.18953873034
800,2,5,6,1,-6219.3176782687,-6239.87969942352
800,2,5,6,2,-6315.58617523572,-6337.51739105309
800,2,5,6,3,-6309.19625320149,-6330.65178414535
800,2,5,6,4,-6361.83617296793,-6375.66154707366
800,2,5,6,5,-6387.79613512449,-6410.21076443236
400,3,1,6,1,-3302.41899245371,-3323.82765559894
400,3,1,6,2,-3445.62797374119,-3453.45885709699
400,3,1,6,3,-3404.71122926269,-3424.58827596191
400,3,1,6,4,-3429.06915440458,-3451.47467194214
400,3,1,6,5,-3385.82106127094,-3383.05641016835
400,3,2,6,1,-3408.28525658302,-3418.71893712676
400,3,2,6,2,-3434.90943880067,-3449.57650792319
400,3,2,6,3,-3394.67249244935,-3417.6481275564
400,3,2,6,4,-3390.58765865841,-3409.74859973624
400,3,2,6,5,-3432.2544440245,-3457.41479967853
400,3,3,6,1,-3422.46306247122,-3431.20764766363
400,3,3,6,2,-3418.04661908333,-3433.11302859874
400,3,3,6,3,-3411.18813498812,-3430.0227920152
400,3,3,6,4,-3393.2685094728,-3406.2271059218
400,3,3,6,5,-3314.7991591807,-3337.7934958895
400,3,4,6,1,-3395.12776884126,-3409.5147521564
400,3,4,6,2,-3416.39534581538,-3444.83835320768
400,3,4,6,3,-3389.81277509909,-3419.12259315202
400,3,4,6,4,-3378.18312476976,-3393.96336487117
400,3,4,6,5,-3363.44316772408,-3390.59147490956
400,3,5,6,1,-3384.83241629369,-3398.12384425594
400,3,5,6,2,-3370.06345171036,-3369.63950495868
400,3,5,6,3,-3326.86393944707,-3343.67867356701
400,3,5,6,4,-3409.386128267,-3425.10136821139
400,3,5,6,5,-3349.98595682766,-3378.5674761819
800,3,1,6,1,-6657.24651232701,-6670.45562868563
800,3,1,6,2,-6691.80648369384,-6719.39832731501
800,3,1,6,3,-6656.89489990259,-6658.83943746409
800,3,1,6,4,-6685.28081740448,-6682.48474474718
800,3,1,6,5,-6708.32863217862,-6735.08943082503
800,3,2,6,1,-6728.71129942047,-6738.56551562662
800,3,2,6,2,-6620.31702461119,-6641.77958539422
800,3,2,6,3,-6723.97798994935,-6747.19326116528
800,3,2,6,4,-6706.06217101037,-6720.81085109627
800,3,2,6,5,-6769.11803612697,-6785.92173456352
800,3,3,6,1,-6761.11742552774,-6763.82669466206
800,3,3,6,2,-6673.22514482385,-6670.93187586568
800,3,3,6,3,-6610.02840849872,-6625.45433379602
800,3,3,6,4,-6753.96770688521,-6689.45621234154
800,3,3,6,5,-6621.22565612051,-6641.87229058062
800,3,4,6,1,-6693.54502755319,-6701.40068697736
800,3,4,6,2,-6728.0730784929,-6753.88201299523
800,3,4,6,3,-6708.47601536016,-6728.46071644847
800,3,4,6,4,-6636.72682922028,-6656.67393353181
800,3,4,6,5,-6647.01324091756,-6667.22682325346
