N,seed_theta,seed_Y,var_name,est,sd,bias,cover
400,3,3,Sigma_3,0.886209530545162,0.278482466288697,-0.113790469454838,TRUE
400,3,3,Sigma_4,3.75227897458708,0.849523294961605,-1.53772102541292,TRUE
400,3,3,Sigma_5,3.75774861430779,0.930579398340617,-1.53225138569221,TRUE
400,3,3,Sigma_6,0.84384598090789,0.187730826078103,-0.15615401909211,TRUE
400,3,3,Sigma_7,3.51414409868357,0.903936377800287,-1.77585590131643,TRUE
400,3,4,Sigma_1,3.32630337619814,0.788925638678497,-1.96369662380185,FALSE
400,3,4,Sigma_2,0.778461015591692,0.240042337679481,-0.221538984408308,TRUE
400,3,4,Sigma_3,0.852676688815896,0.257733700564657,-0.147323311184104,TRUE
400,3,4,Sigma_4,3.36925209341159,0.741258403657754,-1.9207479065884,FALSE
400,3,4,Sigma_5,3.15003050979888,0.68942766230311,-2.13996949020112,FALSE
400,3,4,Sigma_6,0.628824794502898,0.141756045350904,-0.371175205497102,FALSE
400,3,4,Sigma_7,3.67439744463447,0.909040287679722,-1.61560255536553,TRUE
400,3,5,Sigma_1,3.52938154313821,0.81538731203128,-1.76061845686179,TRUE
400,3,5,Sigma_2,0.646610104891371,0.202088159394966,-0.353389895108629,TRUE
400,3,5,Sigma_3,0.766711402282448,0.232648384838088,-0.233288597717552,TRUE
400,3,5,Sigma_4,3.77122177989505,0.727935270197967,-1.51877822010495,TRUE
400,3,5,Sigma_5,3.50459713165176,0.757726247842413,-1.78540286834824,FALSE
400,3,5,Sigma_6,1.01702985860369,0.223652744373546,0.0170298586036912,TRUE
400,3,5,Sigma_7,3.30837963715727,0.796835442305982,-1.98162036284273,FALSE
400,4,1,Sigma_1,2.84619357910009,0.657347199136448,-2.4438064208999,FALSE
400,4,1,Sigma_2,0.41934165188626,0.133852346444692,-0.58065834811374,FALSE
400,4,1,Sigma_3,0.972713987175136,0.292143771916961,-0.0272860128248641,TRUE
400,4,1,Sigma_4,3.19261584187885,0.610370249709353,-2.09738415812115,FALSE
400,4,1,Sigma_5,4.73379009345095,1.09000796161653,-0.556209906549052,TRUE
400,4,1,Sigma_6,1.16688620433988,0.245135944152361,0.166886204339882,TRUE
400,4,1,Sigma_7,2.17556742618941,0.546551475554175,-3.11443257381059,FALSE
400,4,2,Sigma_1,2.78686000487694,0.611412201854181,-2.50313999512306,FALSE
400,4,2,Sigma_2,0.971124817772895,0.312043782055797,-0.0288751822271052,TRUE
400,4,2,Sigma_3,0.833425041219132,0.270297835926655,-0.166574958780868,TRUE
400,4,2,Sigma_4,3.51909519085112,0.770349947121004,-1.77090480914888,FALSE
400,4,2,Sigma_5,3.56040515439125,0.809165239251633,-1.72959484560875,TRUE
400,4,2,Sigma_6,0.916763459709543,0.204933779581604,-0.0832365402904568,TRUE
400,4,2,Sigma_7,2.58616539477976,0.722157792023218,-2.70383460522023,FALSE
400,4,3,Sigma_1,3.28233197648446,0.746657139210505,-2.00766802351554,FALSE
400,4,3,Sigma_2,0.840122388389335,0.280698741767456,-0.159877611610665,TRUE
400,4,3,Sigma_3,0.979589193632149,0.309876246455622,-0.020410806367851,TRUE
400,4,3,Sigma_4,3.82202918506802,0.817008366109476,-1.46797081493198,TRUE
400,4,3,Sigma_5,4.99275532321798,1.34607459348092,-0.297244676782019,TRUE
400,4,3,Sigma_6,0.876841530048479,0.209257788450336,-0.123158469951521,TRUE
400,4,3,Sigma_7,2.2394032882423,0.659681154395617,-3.0505967117577,FALSE
400,4,4,Sigma_1,2.51559926844761,0.561919310303593,-2.77440073155239,FALSE
400,4,4,Sigma_2,0.866052742931228,0.291805781472738,-0.133947257068772,TRUE
400,4,4,Sigma_3,0.972546685955744,0.310934298132633,-0.0274533140442561,TRUE
400,4,4,Sigma_4,3.73567772762546,0.828423801632737,-1.55432227237454,TRUE
400,4,4,Sigma_5,5.39419639436203,1.30507308197789,0.104196394362027,TRUE
400,4,4,Sigma_6,1.00985283262705,0.214985935168064,0.00985283262705061,TRUE
400,4,4,Sigma_7,2.60488473901729,0.699550383682634,-2.68511526098271,FALSE
