seed_theta,seed_Y,fixtree,method_hclust,rmse,tree_frobenius,ari,label,N
3,2,FALSE,ward.D,0.131462654209524,2.42695633234549,0.549715683583621,BayesLCM (homogeneous var) + HC,400
3,2,FALSE,ward.D2,0.131462654209524,2.45001556838381,0.549715683583621,BayesLCM (homogeneous var) + HC,400
3,2,FALSE,single,0.131462654209524,2.54805327328805,0.549715683583621,BayesLCM (homogeneous var) + HC,400
3,2,FALSE,average,0.131462654209524,2.5428843387514,0.549715683583621,BayesLCM (homogeneous var) + HC,400
3,2,FALSE,complete,0.131462654209524,2.4958815626918,0.549715683583621,BayesLCM (homogeneous var) + HC,400
3,2,FALSE,mcquitty,0.131462654209524,2.54364175933669,0.549715683583621,BayesLCM (homogeneous var) + HC,400
3,3,FALSE,ward.D,0.170804303161761,2.3962080406993,0.555614728983836,BayesLCM (homogeneous var) + HC,400
3,3,FALSE,ward.D2,0.170804303161761,2.4672230943215,0.555614728983836,BayesLCM (homogeneous var) + HC,400
3,3,FALSE,single,0.170804303161761,2.63453557728189,0.555614728983836,BayesLCM (homogeneous var) + HC,400
3,3,FALSE,average,0.170804303161761,2.65160031120274,0.555614728983836,BayesLCM (homogeneous var) + HC,400
3,3,FALSE,complete,0.170804303161761,2.67478756065781,0.555614728983836,BayesLCM (homogeneous var) + HC,400
3,3,FALSE,mcquitty,0.170804303161761,2.6764434512003,0.555614728983836,BayesLCM (homogeneous var) + HC,400
3,4,FALSE,ward.D,0.130312024783795,2.30614690510961,0.588743975817513,BayesLCM (homogeneous var) + HC,400
3,4,FALSE,ward.D2,0.130312024783795,2.34412275207308,0.588743975817513,BayesLCM (homogeneous var) + HC,400
3,4,FALSE,single,0.130312024783795,2.44072184528384,0.588743975817513,BayesLCM (homogeneous var) + HC,400
3,4,FALSE,average,0.130312024783795,2.44657038098923,0.588743975817513,BayesLCM (homogeneous var) + HC,400
3,4,FALSE,complete,0.130312024783795,2.45136302548253,0.588743975817513,BayesLCM (homogeneous var) + HC,400
3,4,FALSE,mcquitty,0.130312024783795,2.47178158671266,0.588743975817513,BayesLCM (homogeneous var) + HC,400
3,5,FALSE,ward.D,0.132503180109726,2.39243807223156,0.628718944746918,BayesLCM (homogeneous var) + HC,400
3,5,FALSE,ward.D2,0.132503180109726,2.4251389151601,0.628718944746918,BayesLCM (homogeneous var) + HC,400
3,5,FALSE,single,0.132503180109726,2.52827846305438,0.628718944746918,BayesLCM (homogeneous var) + HC,400
3,5,FALSE,average,0.132503180109726,2.51042657386337,0.628718944746918,BayesLCM (homogeneous var) + HC,400
3,5,FALSE,complete,0.132503180109726,2.52858210074797,0.628718944746918,BayesLCM (homogeneous var) + HC,400
3,5,FALSE,mcquitty,0.132503180109726,2.53440507832868,0.628718944746918,BayesLCM (homogeneous var) + HC,400
4,1,FALSE,ward.D,0.123803215312233,2.36972971283564,0.619802429146547,BayesLCM (homogeneous var) + HC,400
4,1,FALSE,ward.D2,0.123803215312233,2.40092715396534,0.619802429146547,BayesLCM (homogeneous var) + HC,400
4,1,FALSE,single,0.123803215312233,2.5224057284849,0.619802429146547,BayesLCM (homogeneous var) + HC,400
4,1,FALSE,average,0.123803215312233,2.49019427758288,0.619802429146547,BayesLCM (homogeneous var) + HC,400
4,1,FALSE,complete,0.123803215312233,2.47796633865743,0.619802429146547,BayesLCM (homogeneous var) + HC,400
4,1,FALSE,mcquitty,0.123803215312233,2.468395102323,0.619802429146547,BayesLCM (homogeneous var) + HC,400
4,2,FALSE,ward.D,0.0969945428961112,2.72099653844774,0.42413200425557,BayesLCM (homogeneous var) + HC,400
4,2,FALSE,ward.D2,0.0969945428961112,2.81026605420471,0.42413200425557,BayesLCM (homogeneous var) + HC,400
4,2,FALSE,single,0.0969945428961112,2.88559757026211,0.42413200425557,BayesLCM (homogeneous var) + HC,400
4,2,FALSE,average,0.0969945428961112,2.88368594939142,0.42413200425557,BayesLCM (homogeneous var) + HC,400
4,2,FALSE,complete,0.0969945428961112,2.88634359973914,0.42413200425557,BayesLCM (homogeneous var) + HC,400
4,2,FALSE,mcquitty,0.0969945428961112,2.8925479223009,0.42413200425557,BayesLCM (homogeneous var) + HC,400
4,3,FALSE,ward.D,0.167590640203978,2.40804047313461,0.353954418011513,BayesLCM (homogeneous var) + HC,400
4,3,FALSE,ward.D2,0.167590640203978,2.45675138027327,0.353954418011513,BayesLCM (homogeneous var) + HC,400
4,3,FALSE,single,0.167590640203978,2.66054121926182,0.353954418011513,BayesLCM (homogeneous var) + HC,400
4,3,FALSE,average,0.167590640203978,2.64226628723807,0.353954418011513,BayesLCM (homogeneous var) + HC,400
4,3,FALSE,complete,0.167590640203978,2.62980569354208,0.353954418011513,BayesLCM (homogeneous var) + HC,400
4,3,FALSE,mcquitty,0.167590640203978,2.63151235523329,0.353954418011513,BayesLCM (homogeneous var) + HC,400
4,4,FALSE,ward.D,0.164422747953403,2.37821505067639,0.421141207127155,BayesLCM (homogeneous var) + HC,400
4,4,FALSE,ward.D2,0.164422747953403,2.45375330746703,0.421141207127155,BayesLCM (homogeneous var) + HC,400
4,4,FALSE,single,0.164422747953403,2.6355999327738,0.421141207127155,BayesLCM (homogeneous var) + HC,400
4,4,FALSE,average,0.164422747953403,2.63388464199962,0.421141207127155,BayesLCM (homogeneous var) + HC,400
4,4,FALSE,complete,0.164422747953403,2.69683903017836,0.421141207127155,BayesLCM (homogeneous var) + HC,400
4,4,FALSE,mcquitty,0.164422747953403,2.63388464199962,0.421141207127155,BayesLCM (homogeneous var) + HC,400
4,5,FALSE,ward.D,0.166202674847986,2.45087709807964,0.440849687908487,BayesLCM (homogeneous var) + HC,400
4,5,FALSE,ward.D2,0.166202674847986,2.49460162707582,0.440849687908487,BayesLCM (homogeneous var) + HC,400
4,5,FALSE,single,0.166202674847986,2.66284464922764,0.440849687908487,BayesLCM (homogeneous var) + HC,400
4,5,FALSE,average,0.166202674847986,2.67505084696836,0.440849687908487,BayesLCM (homogeneous var) + HC,400
4,5,FALSE,complete,0.166202674847986,2.70020228027391,0.440849687908487,BayesLCM (homogeneous var) + HC,400
4,5,FALSE,mcquitty,0.166202674847986,2.66336054438767,0.440849687908487,BayesLCM (homogeneous var) + HC,400
5,1,FALSE,ward.D,0.148607095699733,2.45279942913617,0.599136511245909,BayesLCM (homogeneous var) + HC,400
5,1,FALSE,ward.D2,0.148607095699733,2.49571851704734,0.599136511245909,BayesLCM (homogeneous var) + HC,400
5,1,FALSE,single,0.148607095699733,2.82963801820239,0.599136511245909,BayesLCM (homogeneous var) + HC,400
5,1,FALSE,average,0.148607095699733,2.68827146284483,0.599136511245909,BayesLCM (homogeneous var) + HC,400
5,1,FALSE,complete,0.148607095699733,2.66027121336147,0.599136511245909,BayesLCM (homogeneous var) + HC,400
5,1,FALSE,mcquitty,0.148607095699733,2.68080624809064,0.599136511245909,BayesLCM (homogeneous var) + HC,400
5,2,FALSE,ward.D,0.185100644550544,2.44705297069525,0.459494005490927,BayesLCM (homogeneous var) + HC,400
5,2,FALSE,ward.D2,0.185100644550544,2.48698994098803,0.459494005490927,BayesLCM (homogeneous var) + HC,400
5,2,FALSE,single,0.185100644550544,2.70317852024626,0.459494005490927,BayesLCM (homogeneous var) + HC,400
5,2,FALSE,average,0.185100644550544,2.65863257918069,0.459494005490927,BayesLCM (homogeneous var) + HC,400
5,2,FALSE,complete,0.185100644550544,2.60346540597607,0.459494005490927,BayesLCM (homogeneous var) + HC,400
5,2,FALSE,mcquitty,0.185100644550544,2.63199850985046,0.459494005490927,BayesLCM (homogeneous var) + HC,400
5,3,FALSE,ward.D,0.0945007885187082,2.70051923999006,0.623214391268661,BayesLCM (homogeneous var) + HC,400
5,3,FALSE,ward.D2,0.0945007885187082,2.73011473536792,0.623214391268661,BayesLCM (homogeneous var) + HC,400
5,3,FALSE,single,0.0945007885187082,3.03196044399315,0.623214391268661,BayesLCM (homogeneous var) + HC,400
5,3,FALSE,average,0.0945007885187082,2.95666721891627,0.623214391268661,BayesLCM (homogeneous var) + HC,400
5,3,FALSE,complete,0.0945007885187082,2.7741268178795,0.623214391268661,BayesLCM (homogeneous var) + HC,400
5,3,FALSE,mcquitty,0.0945007885187082,2.91656062057572,0.623214391268661,BayesLCM (homogeneous var) + HC,400
5,4,FALSE,ward.D,0.0850544335457507,2.7564910626998,0.435879840951377,BayesLCM (homogeneous var) + HC,400
5,4,FALSE,ward.D2,0.0850544335457507,2.63485867865055,0.435879840951377,BayesLCM (homogeneous var) + HC,400
5,4,FALSE,single,0.0850544335457507,2.59695028807596,0.435879840951377,BayesLCM (homogeneous var) + HC,400
5,4,FALSE,average,0.0850544335457507,2.53081914867888,0.435879840951377,BayesLCM (homogeneous var) + HC,400
5,4,FALSE,complete,0.0850544335457507,2.4181416276963,0.435879840951377,BayesLCM (homogeneous var) + HC,400
5,4,FALSE,mcquitty,0.0850544335457507,2.53279779676975,0.435879840951377,BayesLCM (homogeneous var) + HC,400
5,5,FALSE,ward.D,0.124417723821082,2.17825382130736,0.611464603576586,BayesLCM (homogeneous var) + HC,400
5,5,FALSE,ward.D2,0.124417723821082,2.22526254015383,0.611464603576586,BayesLCM (homogeneous var) + HC,400
5,5,FALSE,single,0.124417723821082,2.32775911990601,0.611464603576586,BayesLCM (homogeneous var) + HC,400
5,5,FALSE,average,0.124417723821082,2.31913655396037,0.611464603576586,BayesLCM (homogeneous var) + HC,400
5,5,FALSE,complete,0.124417723821082,2.34998810369423,0.611464603576586,BayesLCM (homogeneous var) + HC,400
5,5,FALSE,mcquitty,0.124417723821082,2.33937865046573,0.611464603576586,BayesLCM (homogeneous var) + HC,400
6,1,FALSE,ward.D,0.127767552928859,2.51712474040846,0.659826592051594,BayesLCM (homogeneous var) + HC,400
6,1,FALSE,ward.D2,0.127767552928859,2.52876001054173,0.659826592051594,BayesLCM (homogeneous var) + HC,400
6,1,FALSE,single,0.127767552928859,2.8522995959825,0.659826592051594,BayesLCM (homogeneous var) + HC,400
6,1,FALSE,average,0.127767552928859,2.60456459162043,0.659826592051594,BayesLCM (homogeneous var) + HC,400
6,1,FALSE,complete,0.127767552928859,2.49792692753196,0.659826592051594,BayesLCM (homogeneous var) + HC,400
6,1,FALSE,mcquitty,0.127767552928859,2.52939286891256,0.659826592051594,BayesLCM (homogeneous var) + HC,400
6,2,FALSE,ward.D,0.104958865859218,2.8981373130316,0.415883749468514,BayesLCM (homogeneous var) + HC,400
6,2,FALSE,ward.D2,0.104958865859218,2.84236847475232,0.415883749468514,BayesLCM (homogeneous var) + HC,400
6,2,FALSE,single,0.104958865859218,2.95391607487572,0.415883749468514,BayesLCM (homogeneous var) + HC,400
6,2,FALSE,average,0.104958865859218,2.86487926429551,0.415883749468514,BayesLCM (homogeneous var) + HC,400
6,2,FALSE,complete,0.104958865859218,2.82502382524412,0.415883749468514,BayesLCM (homogeneous var) + HC,400
6,2,FALSE,mcquitty,0.104958865859218,2.73692497115092,0.415883749468514,BayesLCM (homogeneous var) + HC,400
6,3,FALSE,ward.D,0.125515483595345,2.33812710931213,0.574746362352519,BayesLCM (homogeneous var) + HC,400
6,3,FALSE,ward.D2,0.125515483595345,2.37419198406912,0.574746362352519,BayesLCM (homogeneous var) + HC,400
6,3,FALSE,single,0.125515483595345,2.50052387843694,0.574746362352519,BayesLCM (homogeneous var) + HC,400
6,3,FALSE,average,0.125515483595345,2.49471309107173,0.574746362352519,BayesLCM (homogeneous var) + HC,400
6,3,FALSE,complete,0.125515483595345,2.49897621222812,0.574746362352519,BayesLCM (homogeneous var) + HC,400
6,3,FALSE,mcquitty,0.125515483595345,2.4798550027074,0.574746362352519,BayesLCM (homogeneous var) + HC,400
6,4,FALSE,ward.D,0.107526282544067,2.69667446889974,0.528030413716863,BayesLCM (homogeneous var) + HC,400
6,4,FALSE,ward.D2,0.107526282544067,2.73168406586577,0.528030413716863,BayesLCM (homogeneous var) + HC,400
6,4,FALSE,single,0.107526282544067,2.952567371176,0.528030413716863,BayesLCM (homogeneous var) + HC,400
6,4,FALSE,average,0.107526282544067,2.91870454879256,0.528030413716863,BayesLCM (homogeneous var) + HC,400
6,4,FALSE,complete,0.107526282544067,2.85983707424307,0.528030413716863,BayesLCM (homogeneous var) + HC,400
6,4,FALSE,mcquitty,0.107526282544067,2.94667173850754,0.528030413716863,BayesLCM (homogeneous var) + HC,400
6,5,FALSE,ward.D,0.143031768474494,2.26171449590318,0.569577002954163,BayesLCM (homogeneous var) + HC,400
6,5,FALSE,ward.D2,0.143031768474494,2.29211594777849,0.569577002954163,BayesLCM (homogeneous var) + HC,400
6,5,FALSE,single,0.143031768474494,2.40401796713579,0.569577002954163,BayesLCM (homogeneous var) + HC,400
6,5,FALSE,average,0.143031768474494,2.3926503916828,0.569577002954163,BayesLCM (homogeneous var) + HC,400
6,5,FALSE,complete,0.143031768474494,2.31061251859291,0.569577002954163,BayesLCM (homogeneous var) + HC,400
6,5,FALSE,mcquitty,0.143031768474494,2.35662770367736,0.569577002954163,BayesLCM (homogeneous var) + HC,400
7,1,FALSE,ward.D,0.155911054004809,2.40471005338086,0.387760315180873,BayesLCM (homogeneous var) + HC,400
7,1,FALSE,ward.D2,0.155911054004809,2.47038778721474,0.387760315180873,BayesLCM (homogeneous var) + HC,400
7,1,FALSE,single,0.155911054004809,2.73293266374538,0.387760315180873,BayesLCM (homogeneous var) + HC,400
7,1,FALSE,average,0.155911054004809,2.64706410018353,0.387760315180873,BayesLCM (homogeneous var) + HC,400
7,1,FALSE,complete,0.155911054004809,2.59642388032986,0.387760315180873,BayesLCM (homogeneous var) + HC,400
7,1,FALSE,mcquitty,0.155911054004809,2.67272898738047,0.387760315180873,BayesLCM (homogeneous var) + HC,400
7,2,FALSE,ward.D,0.164468211975383,2.39713049494309,0.409152883480928,BayesLCM (homogeneous var) + HC,400
7,2,FALSE,ward.D2,0.164468211975383,2.44020168888059,0.409152883480928,BayesLCM (homogeneous var) + HC,400
7,2,FALSE,single,0.164468211975383,2.65806530452035,0.409152883480928,BayesLCM (homogeneous var) + HC,400
7,2,FALSE,average,0.164468211975383,2.62024667672651,0.409152883480928,BayesLCM (homogeneous var) + HC,400
7,2,FALSE,complete,0.164468211975383,2.59524814752114,0.409152883480928,BayesLCM (homogeneous var) + HC,400
7,2,FALSE,mcquitty,0.164468211975383,2.61598044434394,0.409152883480928,BayesLCM (homogeneous var) + HC,400
7,3,FALSE,ward.D,0.186686401453922,2.50087173863394,0.335544356001646,BayesLCM (homogeneous var) + HC,400
7,3,FALSE,ward.D2,0.186686401453922,2.62884482790549,0.335544356001646,BayesLCM (homogeneous var) + HC,400
7,3,FALSE,single,0.186686401453922,2.86686862769115,0.335544356001646,BayesLCM (homogeneous var) + HC,400
7,3,FALSE,average,0.186686401453922,2.77669829626077,0.335544356001646,BayesLCM (homogeneous var) + HC,400
7,3,FALSE,complete,0.186686401453922,2.74580840679519,0.335544356001646,BayesLCM (homogeneous var) + HC,400
7,3,FALSE,mcquitty,0.186686401453922,2.76996808922167,0.335544356001646,BayesLCM (homogeneous var) + HC,400
7,4,FALSE,ward.D,0.135653534177904,2.24225910894845,0.588957274439014,BayesLCM (homogeneous var) + HC,400
