N,seed_theta,seed_Y,K_candidate,fold,predictive_llk
400,2,2,4,1,-3251.5531315554
400,2,2,4,2,-3214.61745016704
400,2,2,4,3,-3198.34622825865
400,2,2,4,4,-3182.75430942123
400,2,2,4,5,-3174.0040371405
400,2,2,5,1,-3260.09037503191
400,2,2,5,2,-3187.14295152551
400,2,2,5,3,-3179.13517144432
400,2,2,5,4,-3166.89412571174
400,2,2,5,5,-3161.2716858933
400,2,2,6,1,-3235.52668387491
400,2,2,6,2,-3196.84452230853
400,2,2,6,3,-3189.21791672389
400,2,2,6,4,-3177.72868915069
400,2,2,6,5,-3171.42206607042
400,2,2,7,1,-3241.25977270145
400,2,2,7,2,-3228.31279165684
400,2,2,7,3,-3189.84243986739
400,2,2,7,4,-3182.1817774504
400,2,2,7,5,-3177.91546144443
400,2,2,8,1,-3248.26984080067
400,2,2,8,2,-3209.61307983955
400,2,2,8,3,-3195.56383389535
400,2,2,8,4,-3194.32827566254
400,2,2,8,5,-3185.39610259899
400,2,3,4,1,-3184.92397182859
400,2,3,4,2,-3143.36127477765
400,2,3,4,3,-3237.33005368091
400,2,3,4,4,-3179.24984273334
400,2,3,4,5,-3155.56802960165
400,2,3,5,1,-3177.59286708063
400,2,3,5,2,-3138.3026338631
400,2,3,5,3,-3226.07304375318
400,2,3,5,4,-3173.10461715661
400,2,3,5,5,-3146.10533692687
400,2,3,6,1,-3171.83075693799
400,2,3,6,2,-3160.23492070324
400,2,3,6,3,-3218.21136619963
400,2,3,6,4,-3149.77277465785
400,2,3,6,5,-3146.46407098161
400,2,3,7,1,-3179.87165361888
400,2,3,7,2,-3152.57475964443
400,2,3,7,3,-3226.2296011332
400,2,3,7,4,-3157.32634546545
400,2,3,7,5,-3151.2983715278
400,2,3,8,1,-3185.84680321645
400,2,3,8,2,-3154.14421035422
400,2,3,8,3,-3250.2640911608
400,2,3,8,4,-3164.50310185707
400,2,3,8,5,-3157.71095674931
400,2,4,4,1,-3060.78813578815
400,2,4,4,2,-3158.0473885367
400,2,4,4,3,-3199.23865349679
400,2,4,4,4,-3195.63419214938
400,2,4,4,5,-3171.52358246883
400,2,4,5,1,-3051.1152264948
400,2,4,5,2,-3138.26052561693
400,2,4,5,3,-3194.31238554111
400,2,4,5,4,-3177.72547042254
400,2,4,5,5,-3162.5884328235
400,2,4,6,1,-3039.80819282908
400,2,4,6,2,-3116.78577552827
400,2,4,6,3,-3177.73072842203
400,2,4,6,4,-3178.52865341361
400,2,4,6,5,-3151.5854891393
400,2,4,7,1,-3053.50638522901
400,2,4,7,2,-3124.58562957257
400,2,4,7,3,-3190.88747475928
400,2,4,7,4,-3184.93260185255
400,2,4,7,5,-3162.12836897719
400,2,4,8,1,-3054.9590020036
400,2,4,8,2,-3144.85863165351
400,2,4,8,3,-3189.93974147469
400,2,4,8,4,-3198.53854967255
400,2,4,8,5,-3189.20015155007
400,2,5,4,1,-3189.34712506237
400,2,5,4,2,-3238.11194429839
400,2,5,4,3,-3225.89610481241
400,2,5,4,4,-3277.52299267988
400,2,5,4,5,-3197.0574910012
400,2,5,5,1,-3160.76114644971
400,2,5,5,2,-3212.67557504766
400,2,5,5,3,-3215.45211501722
400,2,5,5,4,-3269.69263431079
400,2,5,5,5,-3181.59489751602
400,2,5,6,1,-3160.76428958007
400,2,5,6,2,-3200.68572573016
400,2,5,6,3,-3213.6443588369
400,2,5,6,4,-3287.55068555928
400,2,5,6,5,-3166.7036137023
400,2,5,7,1,-3169.34360900656
400,2,5,7,2,-3207.10089186893
400,2,5,7,3,-3226.54338891844
400,2,5,7,4,-3268.98320399097
400,2,5,7,5,-3174.31970176999
400,2,5,8,1,-3168.68308867418
400,2,5,8,2,-3218.11209370778
400,2,5,8,3,-3227.24917695102
400,2,5,8,4,-3297.42736804716
400,2,5,8,5,-3179.37408063632
400,3,1,4,1,-3297.02988051855
400,3,1,4,2,-3434.50519644216
400,3,1,4,3,-3403.98092856066
400,3,1,4,4,-3439.91082596447
400,3,1,4,5,-3370.66904932916
400,3,1,5,1,-3292.25105139148
400,3,1,5,2,-3442.24826318035
400,3,1,5,3,-3389.26248799679
400,3,1,5,4,-3421.3511802461
400,3,1,5,5,-3356.61717262808
400,3,1,6,1,-3297.92009676825
400,3,1,6,2,-3432.68340225718
400,3,1,6,3,-3401.57783635268
400,3,1,6,4,-3428.64264148943
400,3,1,6,5,-3363.11173027918
400,3,1,7,1,-3309.81328170937
400,3,1,7,2,-3436.29169263018
400,3,1,7,3,-3423.22144728497
400,3,1,7,4,-3440.48219462416
400,3,1,7,5,-3369.50149258416
400,3,1,8,1,-3315.30692528482
400,3,1,8,2,-3446.57011461856
400,3,1,8,3,-3404.28871944266
400,3,1,8,4,-3438.80382493128
400,3,1,8,5,-3374.08940767519
400,3,2,4,1,-3397.61833813756
400,3,2,4,2,-3439.22626214925
400,3,2,4,3,-3394.12957761992
400,3,2,4,4,-3387.99177921561
400,3,2,4,5,-3428.96556432297
400,3,2,5,1,-3385.40447959095
400,3,2,5,2,-3425.6333768623
400,3,2,5,3,-3385.11589744472
400,3,2,5,4,-3387.59395826078
400,3,2,5,5,-3419.87723985787
400,3,2,6,1,-3391.13934985375
400,3,2,6,2,-3439.53671616651
